seed=1725259037
seed2=183
L=10
nstep=10000
tw=1
Jz=0
eps=5
alpha=0
Sz=0
pbc=0
type=1
beta=10
tau=0.001
Jxy=1
wc=10
ss=1
              1           -nan           -nan           -nan
              2           -nan           -nan           -nan
              3           -nan           -nan           -nan
              4           -nan           -nan           -nan
              5           -nan           -nan           -nan
              6           -1.4              0       -14.0599
              7           -1.6              0       -14.9914
              8           -1.6              0       -15.9726
              9           -1.6              0       -15.9726
             10           -1.6              0       -15.9726
             11           -1.6              0       -15.9726
             12           -1.6              0       -15.9726
             13           -1.6              0       -15.9726
             14           -1.6              0       -15.9726
             15           -1.6              0       -15.9726
             16           -1.6              0       -15.9726
             17           -1.6              0       -15.9726
             18           -1.6              0       -15.9726
             19           -1.6              0       -15.9726
             20           -1.6              0       -15.9726
             21           -1.6              0       -15.9726
             22           -1.6              0       -15.9726
             23           -1.6              0       -15.9726
             24           -1.6              0       -15.9726
             25           -1.6              0       -15.9726
             26           -1.6              0       -15.9726
             27           -1.6              0       -15.9726
             28           -1.6              0       -15.9726
             29           -1.6              0       -15.9726
             30          -1.35              0       -17.2416
             31           -1.2              0       -17.9929
             32           -1.1              0        -18.516
             33       -1.02857              0       -18.8896
             34             -1              0        -19.141
             35      -0.977778              0       -19.3383
             36          -0.98              0       -19.5215
             37      -0.945455              0       -19.6822
             38           -0.9              0       -19.8185
             39      -0.907692              0       -19.9312
             40      -0.942857              0       -19.9948
             41      -0.946667              0       -20.0554
             42        -0.9375              0       -20.1153
             43      -0.929412              0       -20.1946
             44      -0.922222              0       -20.2651
             45      -0.915789              0       -20.3282
             46           -0.9              0       -20.3782
             47       -0.87619              0       -20.4253
             48      -0.854545              0       -20.4681
             49      -0.834783              0       -20.5072
             50      -0.816667              0        -20.543
             51           -0.8              0        -20.576
             52      -0.792308              0       -20.6009
             53      -0.792593              0       -20.6224
             54           -0.8              0       -20.6433
             55      -0.806897              0       -20.6532
             56      -0.813333              0       -20.6624
             57      -0.825806              0       -20.6825
             58       -0.83125              0       -20.7027
             59      -0.836364              0       -20.7195
             60      -0.835294              0       -20.7385
             61      -0.845714              0       -20.7528
             62      -0.855556              0       -20.7658
             63      -0.854054              0       -20.7814
             64      -0.857895              0       -20.7934
             65       -0.85641              0       -20.8054
             66         -0.855              0       -20.8141
             67      -0.858537              0       -20.8194
             68      -0.852381              0       -20.8326
             69      -0.846512              0       -20.8451
             70      -0.845455              0       -20.8508
             71      -0.844444              0       -20.8547
             72      -0.843478              0       -20.8585
             73      -0.842553              0       -20.8656
             74      -0.841667              0       -20.8724
             75      -0.844898              0       -20.8775
             76         -0.856              0       -20.8756
             77      -0.862745              0       -20.8772
             78      -0.869231              0       -20.8786
             79      -0.871698              0       -20.8788
             80      -0.881481              0       -20.8754
             81      -0.887273              0       -20.8747
             82      -0.889286              0       -20.8743
             83      -0.887719              0       -20.8759
             84      -0.886207              0       -20.8802
             85      -0.881356              0       -20.8863
             86      -0.873333              0       -20.8939
             87      -0.868852              0       -20.8981
             88      -0.867742              0       -20.9012
             89      -0.866667              0       -20.9051
             90        -0.8625              0       -20.9102
             91      -0.852308              0       -20.9187
             92      -0.842424              0       -20.9268
             93      -0.832836              0       -20.9347
             94      -0.823529              0       -20.9424
             95       -0.82029              0       -20.9447
             96      -0.817143              0       -20.9469
             97      -0.814085              0       -20.9426
             98      -0.811111              0       -20.9384
             99      -0.808219              0       -20.9365
            100      -0.805405              0       -20.9347
            101      -0.802667              0       -20.9329
            102           -0.8              0       -20.9374
            103           -0.8              0       -20.9408
            104           -0.8              0       -20.9441
            105           -0.8              0       -20.9473
            106           -0.8              0       -20.9473
            107           -0.8              0       -20.9473
            108           -0.8              0       -20.9473
            109           -0.8              0       -20.9473
            110           -0.8              0       -20.9473
            111           -0.8              0       -20.9473
            112           -0.8              0       -20.9473
            113           -0.8              0       -20.9473
            114           -0.8              0       -20.9473
