seed=1725278593
seed2=9
L=10
nstep=10000
tw=1
Jz=0
eps=5
alpha=0
Sz=0
pbc=0
type=1
beta=10
tau=0.001
Jxy=1
wc=10
ss=1
              1           -nan           -nan           -nan
              2           -nan           -nan           -nan
              3           -nan           -nan           -nan
              4           -nan           -nan           -nan
              5           -nan           -nan           -nan
              6           -nan           -nan           -nan
              7           -nan           -nan           -nan
              8           -nan           -nan           -nan
              9           -nan           -nan           -nan
             10           -nan           -nan           -nan
             11           -1.4              0       -20.5517
             12           -1.5              0       -20.6379
             13       -1.53333              0       -21.0232
             14          -1.45              0       -21.2511
             15          -1.48              0       -21.5369
             16       -1.46667              0       -21.8661
             17       -1.48571              0       -22.1312
             18           -1.5              0       -22.3299
             19       -1.51111              0       -22.4976
             20           -1.5              0       -22.6612
             21       -1.50909              0       -22.7751
             22       -1.51667              0       -22.8604
             23       -1.52308              0       -22.9325
             24       -1.52857              0       -22.9943
             25       -1.53333              0       -23.0489
             26          -1.55              0       -23.0965
             27       -1.56471              0        -23.134
             28       -1.58889              0       -23.1836
             29       -1.61053              0       -23.2281
             30          -1.64              0       -23.2683
             31       -1.67619              0       -23.2982
             32       -1.70909              0       -23.3254
             33       -1.71304              0       -23.3457
             34         -1.725              0       -23.3487
             35         -1.744              0       -23.3513
             36       -1.75385              0       -23.3549
             37       -1.76296              0       -23.3653
             38       -1.77143              0       -23.3755
             39       -1.78621              0       -23.3789
             40       -1.76667              0       -23.4113
             41       -1.74839              0       -23.4526
             42       -1.73125              0       -23.4914
             43       -1.71515              0       -23.5309
             44       -1.70588              0       -23.5641
             45       -1.69714              0       -23.5961
             46       -1.67222              0       -23.6815
             47       -1.64324              0       -23.7655
             48       -1.61579              0       -23.8388
             49       -1.58462              0       -23.9092
             50         -1.555              0       -23.9762
             51       -1.52683              0       -24.0399
             52           -1.5              0       -24.1005
             53       -1.47442              0       -24.1583
             54       -1.45909              0       -24.2077
             55       -1.44444              0       -24.2625
             56       -1.42609              0       -24.3192
             57       -1.40851              0       -24.3735
             58       -1.39167              0       -24.4255
             59       -1.37551              0        -24.477
             60          -1.36              0       -24.5283
             61       -1.34118              0       -24.5803
             62       -1.32308              0       -24.6303
             63       -1.30566              0       -24.6785
             64       -1.28889              0       -24.7232
             65       -1.27273              0       -24.7659
             66       -1.25714              0        -24.807
             67       -1.24211              0       -24.8468
             68       -1.22759              0       -24.8851
             69       -1.21356              0       -24.9222
             70           -1.2              0        -24.958
             71       -1.18689              0       -24.9888
             72       -1.17742              0        -25.018
             73       -1.16825              0       -25.0462
             74        -1.1625              0       -25.0728
             75          -1.16              0       -25.0948
             76       -1.15758              0       -25.1173
             77       -1.14925              0       -25.1448
             78       -1.13824              0       -25.1741
             79       -1.13043              0       -25.2018
             80       -1.12571              0       -25.2279
             81       -1.12113              0       -25.2531
             82       -1.11667              0       -25.2777
             83       -1.10959              0       -25.3011
             84        -1.1027              0       -25.3238
             85       -1.09067              0       -25.3481
             86       -1.07632              0       -25.3724
             87       -1.06494              0       -25.3958
             88       -1.05897              0       -25.4156
             89       -1.05063              0       -25.4359
             90        -1.0425              0       -25.4558
             91       -1.03457              0       -25.4753
             92       -1.02683              0       -25.4943
             93       -1.02169              0       -25.5119
             94       -1.01905              0        -25.529
             95       -1.01647              0       -25.5457
             96       -1.01395              0        -25.562
             97        -1.0092              0       -25.5769
             98       -1.00227              0       -25.5931
             99      -0.995506              0        -25.609
            100      -0.986667              0       -25.6253
            101      -0.975824              0       -25.6426
            102      -0.965217              0       -25.6595
            103      -0.954839              0        -25.676
            104      -0.944681              0       -25.6922
            105      -0.936842              0       -25.7078
            106      -0.929167              0        -25.723
            107      -0.921649              0        -25.738
            108      -0.912245              0       -25.7529
            109       -0.90303              0       -25.7675
            110         -0.894              0       -25.7818
            111      -0.885149              0       -25.7958
            112      -0.876471              0       -25.8095
            113      -0.867961              0        -25.823
