seed=1725278593
seed2=30
L=10
nstep=10000
tw=1
Jz=0
eps=5
alpha=0
Sz=0
pbc=0
type=1
beta=10
tau=0.001
Jxy=1
wc=10
ss=1
              1           -nan           -nan           -nan
              2           -nan           -nan           -nan
              3           -nan           -nan           -nan
              4           -nan           -nan           -nan
              5           -nan           -nan           -nan
              6           -nan           -nan           -nan
              7           -1.8              0       -12.2456
              8           -1.8              0       -12.2199
              9           -1.8              0       -12.2432
             10           -1.8              0       -12.3043
             11          -1.84              0       -12.4767
             12       -1.86667              0       -12.6577
             13       -1.88571              0       -12.7893
             14         -1.875              0       -12.8726
             15       -1.86667              0       -12.9426
             16           -1.9              0       -13.0446
             17       -1.90909              0       -13.1499
             18          -1.95              0       -13.2418
             19       -1.95385              0        -13.326
             20       -1.95714              0       -13.4069
             21       -1.94667              0        -13.498
             22        -1.9375              0       -13.5724
             23       -1.91765              0       -13.6349
             24       -1.92222              0       -13.6998
             25       -1.92632              0       -13.7579
             26          -1.91              0        -13.811
             27       -1.90476              0       -13.8639
             28       -1.90909              0       -13.9134
             29       -1.89565              0       -13.9565
             30       -1.88333              0       -13.9955
             31         -1.872              0       -14.0318
             32       -1.84615              0       -14.0579
             33       -1.83704              0       -14.0732
             34       -1.83571              0       -14.0882
             35       -1.82759              0       -14.1091
             36       -1.81333              0       -14.1355
             37        -1.8129              0       -14.1588
             38       -1.81875              0       -14.1779
             39       -1.82424              0       -14.1961
             40       -1.82941              0        -14.214
             41       -1.83429              0       -14.2308
             42       -1.83333              0       -14.2501
             43       -1.82703              0       -14.2931
             44       -1.83158              0       -14.3313
             45       -1.83077              0       -14.3749
             46         -1.835              0       -14.4157
             47        -1.8439              0       -14.4493
             48       -1.84286              0       -14.4852
             49       -1.84651              0       -14.5144
             50       -1.84545              0       -14.5435
             51       -1.84444              0       -14.5736
             52       -1.84348              0       -14.6018
             53       -1.84255              0       -14.6314
             54       -1.84255              0       -14.6314
             55       -1.84255              0       -14.6314
             56       -1.84255              0       -14.6314
             57       -1.84255              0       -14.6314
             58       -1.84255              0       -14.6314
             59       -1.84255              0       -14.6314
             60       -1.84255              0       -14.6314
             61       -1.84255              0       -14.6314
             62       -1.84255              0       -14.6314
             63       -1.84255              0       -14.6314
             64       -1.84255              0       -14.6314
             65       -1.84255              0       -14.6314
             66       -1.84255              0       -14.6314
             67       -1.84255              0       -14.6314
             68       -1.84255              0       -14.6314
             69       -1.84255              0       -14.6314
             70       -1.84255              0       -14.6314
             71       -1.84255              0       -14.6314
             72       -1.84255              0       -14.6314
             73       -1.84255              0       -14.6314
             74       -1.84255              0       -14.6314
             75       -1.84255              0       -14.6314
             76       -1.84255              0       -14.6314
             77       -1.84255              0       -14.6314
             78       -1.84255              0       -14.6314
             79       -1.84255              0       -14.6314
             80       -1.84255              0       -14.6314
             81       -1.84255              0       -14.6314
             82       -1.84255              0       -14.6314
             83       -1.84255              0       -14.6314
             84       -1.84255              0       -14.6314
             85       -1.84255              0       -14.6314
             86       -1.84255              0       -14.6314
             87       -1.84255              0       -14.6314
             88       -1.84255              0       -14.6314
             89       -1.84255              0       -14.6314
             90       -1.84255              0       -14.6314
             91       -1.84255              0       -14.6314
             92       -1.84255              0       -14.6314
             93       -1.84255              0       -14.6314
             94       -1.84255              0       -14.6314
             95       -1.84255              0       -14.6314
             96       -1.84255              0       -14.6314
             97       -1.84255              0       -14.6314
             98       -1.84255              0       -14.6314
             99       -1.84255              0       -14.6314
            100       -1.84255              0       -14.6314
            101       -1.84255              0       -14.6314
            102       -1.84255              0       -14.6314
            103       -1.84255              0       -14.6314
            104       -1.84255              0       -14.6314
            105       -1.84255              0       -14.6314
            106       -1.84255              0       -14.6314
            107       -1.84255              0       -14.6314
            108       -1.84255              0       -14.6314
            109       -1.84255              0       -14.6314
            110       -1.84255              0       -14.6314
            111       -1.84255              0       -14.6314
            112       -1.84255              0       -14.6314
