seed=1725259037
seed2=94
L=10
nstep=10000
tw=1
Jz=0
eps=5
alpha=0
Sz=0
pbc=0
type=1
beta=10
tau=0.001
Jxy=1
wc=10
ss=1
              1           -nan           -nan           -nan
              2           -nan           -nan           -nan
              3           -nan           -nan           -nan
              4           -nan           -nan           -nan
              5           -nan           -nan           -nan
              6           -1.6              0       -16.5248
              7           -1.6              0       -18.8193
              8       -1.53333              0       -19.5797
              9          -1.45              0       -20.0655
             10           -1.4              0       -20.3695
             11           -1.4              0       -20.5774
             12           -1.4              0       -20.7119
             13           -1.4              0       -20.8128
             14           -1.4              0       -20.8785
             15          -1.38              0       -20.9504
             16       -1.36364              0       -21.0092
             17       -1.36667              0       -21.0341
             18       -1.33846              0       -21.0737
             19       -1.32857              0       -21.0873
             20       -1.29333              0       -21.1014
             21        -1.2375              0       -21.1355
             22       -1.18824              0       -21.1656
             23       -1.13333              0       -21.1989
             24       -1.08421              0       -21.2288
             25          -1.04              0       -21.2557
             26      -0.990476              0       -21.2811
             27      -0.954545              0       -21.2973
             28      -0.930435              0       -21.3102
             29           -0.9              0       -21.3298
             30         -0.888              0       -21.3438
             31      -0.884615              0       -21.3562
             32      -0.874074              0       -21.3659
             33      -0.871429              0       -21.3678
             34      -0.862069              0        -21.374
             35      -0.853333              0       -21.3798
             36      -0.845161              0       -21.3841
             37       -0.84375              0       -21.3863
             38      -0.842424              0       -21.3899
             39      -0.841176              0       -21.3937
             40      -0.834286              0       -21.3976
             41      -0.811111              0       -21.4085
             42      -0.794595              0       -21.4184
             43      -0.778947              0       -21.4278
             44      -0.764103              0       -21.4371
             45          -0.75              0       -21.4459
             46      -0.736585              0       -21.4542
             47      -0.728571              0       -21.4561
             48       -0.72093              0       -21.4577
             49      -0.718182              0       -21.4563
             50      -0.715556              0       -21.4542
             51      -0.721739              0       -21.4449
             52      -0.723404              0        -21.439
             53      -0.733333              0       -21.4314
             54      -0.738776              0       -21.4279
             55          -0.74              0       -21.4224
             56      -0.741176              0       -21.4182
             57      -0.746154              0       -21.4141
             58      -0.743396              0       -21.4083
             59      -0.744444              0       -21.4011
             60      -0.738182              0       -21.4024
             61      -0.732143              0       -21.4038
             62      -0.729825              0       -21.4051
             63      -0.727586              0       -21.4054
             64      -0.722034              0       -21.4095
             65      -0.716667              0       -21.4135
             66      -0.714754              0       -21.4131
             67      -0.712903              0       -21.4126
             68      -0.707937              0       -21.4133
             69       -0.70625              0       -21.4132
             70      -0.704615              0       -21.4142
             71           -0.7              0       -21.4191
             72      -0.695522              0       -21.4224
             73      -0.688235              0       -21.4257
             74      -0.681159              0        -21.429
             75      -0.677143              0       -21.4326
             76      -0.673239              0       -21.4291
             77      -0.669444              0       -21.4257
             78      -0.665753              0       -21.4252
             79      -0.662162              0       -21.4247
             80      -0.661333              0       -21.4251
             81      -0.660526              0       -21.4248
             82       -0.65974              0       -21.4245
             83      -0.658974              0       -21.4242
             84      -0.660759              0       -21.4226
             85          -0.66              0       -21.4249
             86      -0.659259              0       -21.4271
             87      -0.660976              0       -21.4292
             88      -0.662651              0       -21.4306
             89      -0.664286              0       -21.4316
             90      -0.668235              0        -21.432
             91      -0.672093              0       -21.4316
             92      -0.675862              0       -21.4312
             93      -0.679545              0       -21.4321
             94      -0.683146              0        -21.433
             95      -0.686667              0       -21.4339
             96       -0.69011              0       -21.4336
             97      -0.693478              0       -21.4335
             98      -0.694624              0       -21.4346
             99      -0.691489              0       -21.4362
            100      -0.688421              0       -21.4377
            101      -0.685417              0        -21.436
            102      -0.682474              0       -21.4347
            103      -0.679592              0       -21.4335
            104      -0.676768              0       -21.4322
            105         -0.676              0       -21.4313
            106      -0.673267              0       -21.4306
            107      -0.670588              0       -21.4309
            108      -0.667961              0        -21.433
            109      -0.665385              0        -21.435
            110      -0.660952              0       -21.4376
            111      -0.656604              0       -21.4403
            112      -0.652336              0       -21.4428
            113          -0.65              0       -21.4449
