seed=1725278593
seed2=115
L=10
nstep=10000
tw=1
Jz=0
eps=5
alpha=0
Sz=0
pbc=0
type=1
beta=10
tau=0.001
Jxy=1
wc=10
ss=1
              1           -nan           -nan           -nan
              2           -nan           -nan           -nan
              3           -0.8              0       -17.4504
              4           -0.8              0       -17.8519
              5      -0.733333              0       -18.5811
              6          -0.75              0       -19.1275
              7          -0.68              0       -19.6026
              8      -0.633333              0       -19.9193
              9           -0.6              0       -20.1455
             10         -0.575              0       -20.3295
             11      -0.555556              0       -20.4726
             12          -0.52              0       -20.5886
             13      -0.490909              0       -20.6836
             14      -0.466667              0       -20.7627
             15      -0.446154              0       -20.8297
             16      -0.442857              0       -20.8714
             17      -0.466667              0       -20.9005
             18        -0.4875              0        -20.926
             19      -0.505882              0       -20.9485
             20      -0.511111              0       -20.9691
             21      -0.526316              0       -20.9721
             22          -0.53              0       -20.9796
             23      -0.533333              0       -20.9984
             24      -0.536364              0       -21.0155
             25      -0.547826              0       -21.0305
             26      -0.558333              0       -21.0444
             27         -0.552              0       -21.0682
             28      -0.546154              0       -21.0875
             29      -0.533333              0       -21.1161
             30      -0.535714              0       -21.1379
             31      -0.531034              0       -21.1656
             32      -0.526667              0       -21.1914
             33      -0.535484              0       -21.2129
             34       -0.54375              0        -21.233
             35      -0.551515              0       -21.2526
             36      -0.558824              0        -21.271
             37          -0.56              0       -21.2892
             38      -0.555556              0       -21.3091
             39      -0.551351              0        -21.328
             40      -0.547368              0       -21.3459
             41       -0.54359              0       -21.3629
             42         -0.545              0       -21.3737
             43      -0.541463              0       -21.3892
             44      -0.538095              0       -21.4039
             45      -0.530233              0       -21.4182
             46      -0.522727              0       -21.4318
             47      -0.515556              0       -21.4428
             48      -0.513043              0       -21.4482
             49      -0.510638              0       -21.4534
             50           -0.5              0       -21.4663
             51      -0.493878              0       -21.4773
             52         -0.488              0       -21.4816
             53      -0.486275              0       -21.4846
             54      -0.480769              0       -21.4949
             55      -0.475472              0       -21.5048
             56       -0.47037              0       -21.5143
             57      -0.461818              0       -21.5245
             58      -0.457143              0       -21.5305
             59       -0.45614              0       -21.5349
             60      -0.455172              0       -21.5392
             61      -0.457627              0       -21.5426
             62          -0.46              0       -21.5483
             63      -0.459016              0       -21.5542
             64      -0.458065              0         -21.56
             65      -0.453968              0       -21.5663
             66          -0.45              0       -21.5723
             67      -0.446154              0       -21.5782
             68      -0.442424              0       -21.5839
             69      -0.438806              0       -21.5895
             70      -0.435294              0       -21.5949
