seed=1725278593
seed2=350
L=10
nstep=10000
tw=1
Jz=0
eps=5
alpha=0
Sz=0
pbc=0
type=1
beta=10
tau=0.001
Jxy=1
wc=10
ss=1
              1           -nan           -nan           -nan
              2           -nan           -nan           -nan
              3           -0.8              0       -14.6842
              4           -0.8              0       -14.6842
              5           -0.8              0       -14.6842
              6           -0.8              0       -14.6842
              7           -0.8              0       -14.6842
              8           -0.8              0       -14.6842
              9           -0.8              0       -14.6842
             10           -0.8              0       -14.6842
             11           -0.8              0       -14.6842
             12           -0.8              0       -14.6842
             13           -0.8              0       -14.6842
             14           -0.8              0       -14.6842
             15           -0.8              0       -14.6842
             16           -0.8              0       -14.6842
             17           -0.8              0       -14.6842
             18           -0.8              0       -14.6842
             19           -0.8              0       -14.6842
             20           -0.8              0       -14.6842
             21           -0.8              0       -14.6842
             22           -0.8              0       -14.6842
             23           -0.8              0       -14.6842
             24           -0.8              0       -14.6842
             25           -0.8              0       -14.6842
             26           -0.8              0       -14.6842
             27           -0.8              0       -14.6842
             28           -0.8              0       -14.6842
             29           -0.8              0       -14.6842
             30           -0.8              0       -14.6842
             31           -0.8              0       -14.6842
             32           -0.8              0       -14.6842
             33           -0.8              0       -14.6842
             34           -0.8              0       -14.6842
             35           -0.8              0       -14.6842
             36           -0.8              0       -14.6842
             37           -0.8              0       -14.6842
             38           -0.8              0       -14.6842
             39           -0.8              0       -14.6842
             40           -0.8              0       -14.6842
             41           -0.8              0       -14.6842
             42           -0.8              0       -14.6842
             43           -0.8              0       -14.6842
             44           -0.8              0       -14.6842
             45           -0.8              0       -14.6842
             46           -0.8              0       -14.6842
             47           -0.8              0       -14.6842
             48           -0.8              0       -14.6842
             49           -0.8              0       -14.6842
             50           -0.8              0       -14.6842
             51           -0.8              0       -14.6842
             52           -0.8              0       -14.6842
             53           -0.8              0       -14.6842
             54           -0.8              0       -14.6842
             55           -0.8              0       -14.6842
             56           -0.8              0       -14.6842
             57           -0.8              0       -14.6842
             58           -0.8              0       -14.6842
             59           -0.8              0       -14.6842
             60           -0.8              0       -14.6842
             61           -0.8              0       -14.6842
             62           -0.8              0       -14.6842
             63           -0.8              0       -14.6842
             64           -0.8              0       -14.6842
             65           -0.8              0       -14.6842
             66           -0.8              0       -14.6842
             67           -0.8              0       -14.6842
             68           -0.8              0       -14.6842
             69           -0.8              0       -14.6842
             70           -0.8              0       -14.6842
             71           -0.8              0       -14.6842
             72           -0.8              0       -14.6842
             73           -0.8              0       -14.6842
             74           -0.8              0       -14.6842
             75           -0.8              0       -14.6842
             76           -0.8              0       -14.6842
             77           -0.8              0       -14.6842
             78           -0.8              0       -14.6842
             79           -0.8              0       -14.6842
             80           -0.8              0       -14.6842
             81           -0.8              0       -14.6842
             82           -0.8              0       -14.6842
             83           -0.8              0       -14.6842
             84           -0.8              0       -14.6842
             85           -0.8              0       -14.6842
