seed=1725259037
seed2=108
L=10
nstep=10000
tw=1
Jz=0
eps=5
alpha=0
Sz=0
pbc=0
type=1
beta=10
tau=0.001
Jxy=1
wc=10
ss=1
              1           -nan           -nan           -nan
              2           -0.4              0       -20.9523
              3           -0.4              0       -21.9027
              4           -0.4              0       -22.2195
              5           -0.4              0        -22.378
              6          -0.44              0       -22.4702
              7           -0.5              0       -22.5233
              8      -0.542857              0       -22.5612
              9         -0.575              0       -22.5923
             10           -0.6              0       -22.6166
             11          -0.62              0       -22.6358
             12      -0.636364              0       -22.6517
             13      -0.633333              0       -22.6634
             14      -0.630769              0       -22.6733
             15      -0.628571              0       -22.6823
             16      -0.613333              0       -22.6908
             17        -0.6125              0       -22.6965
             18      -0.611765              0       -22.7016
             19      -0.588889              0       -22.7094
             20      -0.568421              0       -22.7165
             21          -0.56              0        -22.722
             22      -0.552381              0        -22.727
             23      -0.545455              0       -22.7315
             24       -0.53913              0       -22.7362
             25      -0.533333              0       -22.7405
             26          -0.52              0       -22.7444
             27      -0.507692              0       -22.7479
             28      -0.511111              0       -22.7513
             29      -0.507143              0       -22.7538
             30      -0.503448              0       -22.7562
             31           -0.5              0       -22.7583
             32      -0.496774              0       -22.7603
             33       -0.49375              0       -22.7622
             34      -0.490909              0       -22.7639
             35      -0.488235              0       -22.7656
             36      -0.485714              0       -22.7671
             37      -0.488889              0       -22.7682
             38      -0.497297              0       -22.7646
             39           -0.5              0       -22.7609
             40      -0.507692              0       -22.7572
             41          -0.51              0       -22.7592
             42      -0.517073              0       -22.7569
             43      -0.528571              0       -22.7545
             44      -0.539535              0       -22.7522
             45          -0.55              0       -22.7467
             46      -0.555556              0       -22.7453
             47       -0.56087              0       -22.7439
             48      -0.565957              0       -22.7455
             49         -0.575              0       -22.7455
             50      -0.587755              0       -22.7446
             51           -0.6              0       -22.7431
             52      -0.615686              0       -22.7416
             53      -0.634615              0       -22.7394
             54      -0.645283              0       -22.7391
             55      -0.648148              0       -22.7411
             56      -0.650909              0       -22.7414
             57      -0.653571              0       -22.7416
             58       -0.65614              0        -22.741
             59      -0.651724              0       -22.7402
             60      -0.647458              0       -22.7393
             61      -0.643333              0       -22.7385
             62      -0.639344              0       -22.7375
             63      -0.635484              0       -22.7365
             64      -0.631746              0       -22.7356
             65      -0.628125              0       -22.7346
             66      -0.624615              0       -22.7337
             67      -0.621212              0       -22.7331
             68      -0.626866              0       -22.7319
             69      -0.632353              0       -22.7307
             70       -0.64058              0       -22.7287
             71      -0.648571              0       -22.7268
             72      -0.656338              0       -22.7264
             73      -0.666667              0       -22.7234
             74      -0.671233              0       -22.7237
             75      -0.672973              0       -22.7239
             76      -0.674667              0       -22.7243
             77      -0.676316              0       -22.7247
             78      -0.675325              0       -22.7253
             79      -0.676923              0       -22.7258
             80      -0.678481              0       -22.7262
             81          -0.68              0       -22.7266
             82      -0.681481              0       -22.7269
             83      -0.680488              0       -22.7275
             84      -0.679518              0        -22.728
             85      -0.680952              0       -22.7286
             86      -0.684706              0       -22.7278
             87      -0.688372              0        -22.727
             88      -0.691954              0       -22.7262
             89      -0.693182              0       -22.7257
             90      -0.694382              0       -22.7252
             91      -0.695556              0       -22.7247
             92      -0.703297              0       -22.7232
             93       -0.71087              0       -22.7191
             94      -0.713978              0       -22.7153
             95      -0.717021              0       -22.7116
             96          -0.72              0       -22.7079
             97      -0.722917              0       -22.7058
             98      -0.727835              0       -22.7037
             99      -0.734694              0       -22.7016
            100      -0.743434              0       -22.6995
            101          -0.75              0       -22.6981
            102      -0.754455              0        -22.697
            103      -0.760784              0       -22.6957
            104      -0.761165              0       -22.6965
            105      -0.765385              0       -22.6948
            106      -0.769524              0       -22.6932
            107      -0.769811              0       -22.6919
            108      -0.770093              0       -22.6907
            109       -0.77037              0        -22.692
            110      -0.770642              0       -22.6934
            111      -0.770909              0       -22.6946
            112      -0.771171              0       -22.6958
            113      -0.769643              0       -22.6971
            114      -0.769912              0       -22.6983
            115      -0.768421              0       -22.6995
            116      -0.766957              0       -22.7007
            117      -0.762069              0       -22.7021
            118      -0.755556              0       -22.7036
            119      -0.749153              0        -22.705
            120      -0.744538              0       -22.7058
            121      -0.741667              0       -22.7062
            122       -0.73719              0       -22.7072
            123      -0.732787              0       -22.7082
            124      -0.730081              0       -22.7092
            125      -0.727419              0       -22.7098
            126        -0.7248              0       -22.7108
            127      -0.720635              0       -22.7114
            128      -0.714961              0        -22.712
            129      -0.709375              0       -22.7126
            130      -0.709375              0       -22.7126
            131      -0.709375              0       -22.7126
            132      -0.709375              0       -22.7126
            133      -0.709375              0       -22.7126
            134      -0.709375              0       -22.7126
            135      -0.709375              0       -22.7126
            136      -0.709375              0       -22.7126
            137      -0.709375              0       -22.7126
            138      -0.709375              0       -22.7126
            139      -0.709375              0       -22.7126
            140      -0.709375              0       -22.7126
            141      -0.709375              0       -22.7126
            142      -0.709375              0       -22.7126
            143      -0.709375              0       -22.7126
            144      -0.709375              0       -22.7126
            145      -0.709375              0       -22.7126
            146      -0.709375              0       -22.7126
            147      -0.709375              0       -22.7126
            148      -0.709375              0       -22.7126
            149      -0.709375              0       -22.7126
            150      -0.709375              0       -22.7126
            151      -0.709375              0       -22.7126
            152      -0.709375              0       -22.7126
            153      -0.709375              0       -22.7126
            154      -0.709375              0       -22.7126
            155      -0.709375              0       -22.7126
            156      -0.709375              0       -22.7126
            157      -0.709375              0       -22.7126
            158      -0.709375              0       -22.7126
            159      -0.709375              0       -22.7126
            160      -0.709375              0       -22.7126
            161      -0.709375              0       -22.7126
            162      -0.709375              0       -22.7126
            163      -0.709375              0       -22.7126
            164      -0.709375              0       -22.7126
            165      -0.709375              0       -22.7126
            166      -0.709375              0       -22.7126
            167      -0.709375              0       -22.7126
            168      -0.709375              0       -22.7126
            169      -0.709375              0       -22.7126
            170      -0.709375              0       -22.7126
            171      -0.709375              0       -22.7126
            172      -0.709375              0       -22.7126
            173      -0.709375              0       -22.7126
            174      -0.709375              0       -22.7126
            175      -0.709375              0       -22.7126
            176      -0.709375              0       -22.7126
            177      -0.709375              0       -22.7126
            178      -0.709375              0       -22.7126
            179      -0.709375              0       -22.7126
            180      -0.709375              0       -22.7126
            181      -0.709375              0       -22.7126
            182      -0.709375              0       -22.7126
            183      -0.709375              0       -22.7126
            184      -0.709375              0       -22.7126
            185      -0.709375              0       -22.7126
            186      -0.709375              0       -22.7126
            187      -0.709375              0       -22.7126
            188      -0.709375              0       -22.7126
            189      -0.709375              0       -22.7126
            190      -0.709375              0       -22.7126
            191      -0.709375              0       -22.7126
            192      -0.709375              0       -22.7126
            193      -0.709375              0       -22.7126
            194      -0.709375              0       -22.7126
            195      -0.709375              0       -22.7126
            196      -0.709375              0       -22.7126
            197      -0.709375              0       -22.7126
            198      -0.709375              0       -22.7126
            199      -0.709375              0       -22.7126
            200      -0.709375              0       -22.7126
            201      -0.709375              0       -22.7126
            202      -0.709375              0       -22.7126
            203      -0.709375              0       -22.7126
            204      -0.709375              0       -22.7126
            205      -0.709375              0       -22.7126
            206      -0.709375              0       -22.7126
            207      -0.709375              0       -22.7126
            208      -0.709375              0       -22.7126
            209      -0.709375              0       -22.7126
            210      -0.709375              0       -22.7126
            211      -0.709375              0       -22.7126
            212      -0.709375              0       -22.7126
            213      -0.709375              0       -22.7126
            214      -0.709375              0       -22.7126
            215      -0.709375              0       -22.7126
            216      -0.709375              0       -22.7126
            217      -0.709375              0       -22.7126
            218      -0.709375              0       -22.7126
            219      -0.709375              0       -22.7126
            220      -0.709375              0       -22.7126
            221      -0.709375              0       -22.7126
            222      -0.709375              0       -22.7126
            223      -0.709375              0       -22.7126
            224      -0.709375              0       -22.7126
            225      -0.709375              0       -22.7126
            226      -0.709375              0       -22.7126
            227      -0.709375              0       -22.7126
            228      -0.709375              0       -22.7126
            229      -0.709375              0       -22.7126
            230      -0.709375              0       -22.7126
            231      -0.709375              0       -22.7126
            232      -0.709375              0       -22.7126
            233      -0.709375              0       -22.7126
            234      -0.709375              0       -22.7126
            235      -0.709375              0       -22.7126
            236      -0.709375              0       -22.7126
            237      -0.709375              0       -22.7126
            238      -0.709375              0       -22.7126
            239      -0.709375              0       -22.7126
            240      -0.709375              0       -22.7126
            241      -0.709375              0       -22.7126
            242      -0.709375              0       -22.7126
            243      -0.709375              0       -22.7126
            244      -0.709375              0       -22.7126
            245      -0.709375              0       -22.7126
            246      -0.709375              0       -22.7126
            247      -0.709375              0       -22.7126
            248      -0.709375              0       -22.7126
            249      -0.709375              0       -22.7126
            250      -0.709375              0       -22.7126
            251      -0.709375              0       -22.7126
            252      -0.709375              0       -22.7126
            253      -0.709375              0       -22.7126
            254      -0.709375              0       -22.7126
            255      -0.709375              0       -22.7126
            256      -0.709375              0       -22.7126
            257      -0.709375              0       -22.7126
            258      -0.709375              0       -22.7126
            259      -0.709375              0       -22.7126
            260      -0.709375              0       -22.7126
            261      -0.709375              0       -22.7126
            262      -0.709375              0       -22.7126
            263      -0.709375              0       -22.7126
            264      -0.709375              0       -22.7126
            265      -0.709375              0       -22.7126
            266      -0.709375              0       -22.7126
            267      -0.709375              0       -22.7126
            268      -0.709375              0       -22.7126
            269      -0.709375              0       -22.7126
            270      -0.709375              0       -22.7126
            271      -0.709375              0       -22.7126
            272      -0.709375              0       -22.7126
            273      -0.709375              0       -22.7126
            274      -0.709375              0       -22.7126
            275      -0.709375              0       -22.7126
            276      -0.709375              0       -22.7126
            277      -0.709375              0       -22.7126
            278      -0.709375              0       -22.7126
            279      -0.709375              0       -22.7126
            280      -0.709375              0       -22.7126
            281      -0.709375              0       -22.7126
            282      -0.709375              0       -22.7126
            283      -0.709375              0       -22.7126
            284      -0.709375              0       -22.7126
            285      -0.709375              0       -22.7126
            286      -0.709375              0       -22.7126
            287      -0.709375              0       -22.7126
            288      -0.709375              0       -22.7126
            289      -0.709375              0       -22.7126
            290      -0.709375              0       -22.7126
            291      -0.709375              0       -22.7126
            292      -0.709375              0       -22.7126
            293      -0.709375              0       -22.7126
            294      -0.709375              0       -22.7126
            295      -0.709375              0       -22.7126
            296      -0.709375              0       -22.7126
            297      -0.709375              0       -22.7126
            298      -0.709375              0       -22.7126
            299      -0.709375              0       -22.7126
            300      -0.709375              0       -22.7126
            301      -0.709375              0       -22.7126
            302      -0.709375              0       -22.7126
            303      -0.709375              0       -22.7126
            304      -0.709375              0       -22.7126
            305      -0.709375              0       -22.7126
            306      -0.709375              0       -22.7126
            307      -0.709375              0       -22.7126
            308      -0.709375              0       -22.7126
            309      -0.709375              0       -22.7126
            310      -0.709375              0       -22.7126
            311      -0.709375              0       -22.7126
            312      -0.709375              0       -22.7126
            313      -0.709375              0       -22.7126
            314      -0.709375              0       -22.7126
            315      -0.709375              0       -22.7126
            316      -0.709375              0       -22.7126
            317      -0.709375              0       -22.7126
            318      -0.709375              0       -22.7126
            319      -0.709375              0       -22.7126
            320      -0.709375              0       -22.7126
            321      -0.709375              0       -22.7126
            322      -0.709375              0       -22.7126
            323      -0.709375              0       -22.7126
            324      -0.709375              0       -22.7126
            325      -0.709375              0       -22.7126
            326      -0.709375              0       -22.7126
            327      -0.709375              0       -22.7126
            328      -0.709375              0       -22.7126
            329      -0.709375              0       -22.7126
            330      -0.709375              0       -22.7126
            331      -0.709375              0       -22.7126
            332      -0.709375              0       -22.7126
            333      -0.709375              0       -22.7126
            334      -0.709375              0       -22.7126
            335      -0.709375              0       -22.7126
            336      -0.709375              0       -22.7126
            337      -0.709375              0       -22.7126
            338      -0.709375              0       -22.7126
            339      -0.709375              0       -22.7126
            340      -0.709375              0       -22.7126
            341      -0.709375              0       -22.7126
            342      -0.709375              0       -22.7126
            343      -0.709375              0       -22.7126
            344      -0.709375              0       -22.7126
            345      -0.709375              0       -22.7126
            346      -0.709375              0       -22.7126
            347      -0.709375              0       -22.7126
            348      -0.709375              0       -22.7126
            349      -0.709375              0       -22.7126
            350      -0.709375              0       -22.7126
            351      -0.709375              0       -22.7126
            352      -0.709375              0       -22.7126
            353      -0.709375              0       -22.7126
            354      -0.709375              0       -22.7126
            355      -0.709375              0       -22.7126
            356      -0.709375              0       -22.7126
            357      -0.709375              0       -22.7126
            358      -0.709375              0       -22.7126
            359      -0.709375              0       -22.7126
            360      -0.709375              0       -22.7126
            361      -0.709375              0       -22.7126
            362      -0.709375              0       -22.7126
            363      -0.709375              0       -22.7126
            364      -0.709375              0       -22.7126
            365      -0.709375              0       -22.7126
            366      -0.709375              0       -22.7126
            367      -0.709375              0       -22.7126
            368      -0.709375              0       -22.7126
            369      -0.709375              0       -22.7126
            370      -0.709375              0       -22.7126
            371      -0.709375              0       -22.7126
            372      -0.709375              0       -22.7126
            373      -0.709375              0       -22.7126
            374      -0.709375              0       -22.7126
            375      -0.709375              0       -22.7126
            376      -0.709375              0       -22.7126
            377      -0.709375              0       -22.7126
            378      -0.709375              0       -22.7126
            379      -0.709375              0       -22.7126
            380      -0.709375              0       -22.7126
            381      -0.709375              0       -22.7126
            382      -0.709375              0       -22.7126
            383      -0.709375              0       -22.7126
            384      -0.709375              0       -22.7126
            385      -0.709375              0       -22.7126
            386      -0.709375              0       -22.7126
            387      -0.709375              0       -22.7126
            388      -0.709375              0       -22.7126
            389      -0.709375              0       -22.7126
            390      -0.709375              0       -22.7126
            391      -0.709375              0       -22.7126
            392      -0.709375              0       -22.7126
            393      -0.709375              0       -22.7126
            394      -0.709375              0       -22.7126
            395      -0.709375              0       -22.7126
            396      -0.709375              0       -22.7126
            397      -0.709375              0       -22.7126
            398      -0.709375              0       -22.7126
            399      -0.709375              0       -22.7126
            400      -0.709375              0       -22.7126
            401      -0.709375              0       -22.7126
            402      -0.709375              0       -22.7126
            403      -0.709375              0       -22.7126
            404      -0.709375              0       -22.7126
            405      -0.709375              0       -22.7126
            406      -0.709375              0       -22.7126
            407      -0.709375              0       -22.7126
            408      -0.709375              0       -22.7126
            409      -0.709375              0       -22.7126
            410      -0.709375              0       -22.7126
            411      -0.709375              0       -22.7126
            412      -0.709375              0       -22.7126
            413      -0.709375              0       -22.7126
            414      -0.709375              0       -22.7126
            415      -0.709375              0       -22.7126
            416      -0.709375              0       -22.7126
            417      -0.709375              0       -22.7126
            418      -0.709375              0       -22.7126
            419      -0.709375              0       -22.7126
            420      -0.709375              0       -22.7126
            421      -0.709375              0       -22.7126
            422      -0.709375              0       -22.7126
            423      -0.709375              0       -22.7126
            424      -0.709375              0       -22.7126
            425      -0.709375              0       -22.7126
            426      -0.709375              0       -22.7126
            427      -0.709375              0       -22.7126
            428      -0.709375              0       -22.7126
            429      -0.709375              0       -22.7126
            430      -0.709375              0       -22.7126
            431      -0.709375              0       -22.7126
            432      -0.709375              0       -22.7126
            433      -0.709375              0       -22.7126
            434      -0.709375              0       -22.7126
            435      -0.709375              0       -22.7126
            436      -0.709375              0       -22.7126
            437      -0.709375              0       -22.7126
            438      -0.709375              0       -22.7126
            439      -0.709375              0       -22.7126
            440      -0.709375              0       -22.7126
            441      -0.709375              0       -22.7126
            442      -0.709375              0       -22.7126
            443      -0.709375              0       -22.7126
            444      -0.709375              0       -22.7126
            445      -0.709375              0       -22.7126
            446      -0.709375              0       -22.7126
            447      -0.709375              0       -22.7126
            448      -0.709375              0       -22.7126
            449      -0.709375              0       -22.7126
            450      -0.709375              0       -22.7126
            451      -0.709375              0       -22.7126
            452      -0.709375              0       -22.7126
            453      -0.709375              0       -22.7126
            454      -0.709375              0       -22.7126
            455      -0.709375              0       -22.7126
            456      -0.709375              0       -22.7126
            457      -0.709375              0       -22.7126
            458      -0.709375              0       -22.7126
            459      -0.709375              0       -22.7126
            460      -0.709375              0       -22.7126
            461      -0.709375              0       -22.7126
            462      -0.709375              0       -22.7126
            463      -0.709375              0       -22.7126
            464      -0.709375              0       -22.7126
            465      -0.709375              0       -22.7126
            466      -0.709375              0       -22.7126
            467      -0.709375              0       -22.7126
            468      -0.709375              0       -22.7126
            469      -0.709375              0       -22.7126
            470      -0.709375              0       -22.7126
            471      -0.709375              0       -22.7126
            472      -0.709375              0       -22.7126
            473      -0.709375              0       -22.7126
            474      -0.709375              0       -22.7126
            475      -0.709375              0       -22.7126
            476      -0.709375              0       -22.7126
            477      -0.709375              0       -22.7126
            478      -0.709375              0       -22.7126
            479      -0.709375              0       -22.7126
            480      -0.709375              0       -22.7126
            481      -0.709375              0       -22.7126
            482      -0.709375              0       -22.7126
            483      -0.709375              0       -22.7126
            484      -0.709375              0       -22.7126
            485      -0.709375              0       -22.7126
            486      -0.709375              0       -22.7126
            487      -0.709375              0       -22.7126
            488      -0.709375              0       -22.7126
            489      -0.709375              0       -22.7126
            490      -0.709375              0       -22.7126
            491      -0.709375              0       -22.7126
            492      -0.709375              0       -22.7126
            493      -0.709375              0       -22.7126
            494      -0.709375              0       -22.7126
            495      -0.709375              0       -22.7126
            496      -0.709375              0       -22.7126
            497      -0.709375              0       -22.7126
            498      -0.709375              0       -22.7126
            499      -0.709375              0       -22.7126
            500      -0.709375              0       -22.7126
            501      -0.709375              0       -22.7126
            502      -0.709375              0       -22.7126
            503      -0.709375              0       -22.7126
            504      -0.709375              0       -22.7126
            505      -0.709375              0       -22.7126
            506      -0.709375              0       -22.7126
            507      -0.709375              0       -22.7126
            508      -0.709375              0       -22.7126
            509      -0.709375              0       -22.7126
            510      -0.709375              0       -22.7126
            511      -0.709375              0       -22.7126
            512      -0.709375              0       -22.7126
            513      -0.709375              0       -22.7126
            514      -0.709375              0       -22.7126
            515      -0.709375              0       -22.7126
            516      -0.709375              0       -22.7126
            517      -0.709375              0       -22.7126
            518      -0.709375              0       -22.7126
            519      -0.709375              0       -22.7126
            520      -0.709375              0       -22.7126
            521      -0.709375              0       -22.7126
            522      -0.709375              0       -22.7126
            523      -0.709375              0       -22.7126
            524      -0.709375              0       -22.7126
            525      -0.709375              0       -22.7126
            526      -0.709375              0       -22.7126
