seed=1725278593
seed2=171
L=10
nstep=10000
tw=1
Jz=0
eps=5
alpha=0
Sz=0
pbc=0
type=1
beta=10
tau=0.001
Jxy=1
wc=10
ss=1
              1           -nan           -nan           -nan
              2           -nan           -nan           -nan
              3           -nan           -nan           -nan
              4           -0.2              0       -28.7241
              5           -0.3              0       -28.5439
              6      -0.333333              0       -28.4838
              7          -0.35              0        -28.385
              8          -0.32              0       -28.4319
              9           -0.3              0       -28.4631
             10      -0.285714              0       -28.4855
             11         -0.275              0       -28.5022
             12      -0.266667              0       -28.5152
             13          -0.26              0       -28.5256
             14      -0.272727              0       -28.5282
             15      -0.283333              0       -28.5304
             16      -0.323077              0       -28.4957
             17      -0.357143              0       -28.4661
             18      -0.373333              0       -28.4613
             19        -0.3875              0       -28.4597
             20           -0.4              0       -28.4583
             21           -0.4              0       -28.4663
             22           -0.4              0       -28.4734
             23          -0.38              0       -28.4898
             24      -0.361905              0       -28.5045
             25      -0.345455              0       -28.5179
             26      -0.330435              0       -28.5302
             27      -0.316667              0       -28.5414
             28         -0.304              0       -28.5518
             29      -0.292308              0       -28.5613
             30      -0.281481              0       -28.5702
             31      -0.271429              0       -28.5784
             32      -0.275862              0       -28.5799
             33      -0.273333              0       -28.5866
             34      -0.277419              0       -28.5858
             35       -0.28125              0       -28.5851
             36      -0.290909              0       -28.5848
             37           -0.3              0       -28.5845
             38      -0.302857              0       -28.5886
             39      -0.311111              0       -28.5912
             40      -0.318919              0       -28.5936
             41      -0.331579              0       -28.5949
             42       -0.34359              0       -28.5961
             43          -0.35              0       -28.5976
             44      -0.356098              0       -28.5963
             45      -0.366667              0       -28.5864
             46      -0.376744              0        -28.577
             47      -0.386364              0        -28.568
             48      -0.382222              0       -28.5651
             49      -0.378261              0       -28.5623
             50      -0.378723              0        -28.559
             51      -0.370833              0       -28.5641
             52      -0.363265              0       -28.5689
             53         -0.356              0       -28.5735
             54       -0.34902              0       -28.5779
             55      -0.346154              0       -28.5817
             56      -0.343396              0       -28.5853
             57      -0.337037              0       -28.5893
             58      -0.330909              0       -28.5931
             59         -0.325              0       -28.5968
             60      -0.319298              0       -28.6004
             61      -0.313793              0       -28.6038
             62      -0.308475              0       -28.6071
             63      -0.306667              0       -28.6102
             64      -0.301639              0       -28.6133
             65      -0.296774              0       -28.6163
             66      -0.295238              0       -28.6191
             67       -0.29375              0       -28.6218
             68      -0.292308              0       -28.6245
             69      -0.290909              0        -28.627
             70      -0.289552              0       -28.6295
             71      -0.288235              0       -28.6318
             72      -0.286957              0       -28.6342
             73      -0.285714              0       -28.6364
             74       -0.28169              0       -28.6387
             75      -0.277778              0        -28.641
             76      -0.273973              0       -28.6431
             77       -0.27027              0       -28.6453
             78      -0.266667              0       -28.6473
             79      -0.263158              0       -28.6493
             80       -0.25974              0       -28.6513
             81       -0.25641              0       -28.6532
             82      -0.253165              0       -28.6551
             83          -0.25              0       -28.6569
             84      -0.246914              0       -28.6586
             85      -0.243902              0       -28.6604
             86      -0.240964              0        -28.662
             87      -0.240476              0       -28.6622
             88          -0.24              0       -28.6624
             89      -0.239535              0       -28.6626
             90      -0.236782              0       -28.6642
             91      -0.234091              0       -28.6657
             92      -0.231461              0       -28.6672
             93      -0.228889              0       -28.6687
             94      -0.230769              0        -28.668
             95      -0.232609              0       -28.6673
             96      -0.234409              0       -28.6666
             97      -0.234043              0       -28.6668
             98      -0.233684              0       -28.6669
             99      -0.233333              0       -28.6671
            100       -0.23299              0       -28.6672
            101      -0.232653              0       -28.6674
            102      -0.232323              0       -28.6675
            103         -0.236              0       -28.6663
            104      -0.239604              0       -28.6657
            105      -0.245098              0       -28.6646
            106      -0.248544              0       -28.6642
            107      -0.251923              0       -28.6638
            108      -0.253333              0       -28.6639
            109      -0.254717              0       -28.6639
            110      -0.256075              0        -28.664
            111      -0.257407              0       -28.6641
            112      -0.258716              0       -28.6641
            113          -0.26              0        -28.663
